intent,category,description,when_to_use,canonical_action,required_entities,optional_entities,notes
NS_CREATE_SIGNAL,NEW_SIGNAL,Nuovo segnale operativo con setup iniziale della posizione.,"Quando il trader pubblica un nuovo trade/setup con simbolo e direzione, idealmente con entry, stop e target.",ACT_CREATE_SIGNAL,symbol; side,entries[]; stop_loss; take_profits[]; leverage; timeframe; risk_percent; setup_text; source_message_id; linked_message_ids[]; confidence,"Se mancano campi chiave il message_type può restare SETUP_INCOMPLETE, ma l'intento di base resta la creazione del segnale."
U_ACTIVATION,UPDATE,Conferma che il setup o l'ordine pendente si è attivato.,"Quando il trader dice che la posizione è entrata a mercato, è stata attivata o l'ordine è scattato.",ACT_MARK_SIGNAL_ACTIVE,symbol,activated_entry_price; activated_entry_label; fill_price; activation_time; linked_signal_id; source_message_id; confidence,Utile quando il segnale iniziale era pending/limit e serve cambiare stato.
U_MARK_FILLED,UPDATE,Marca una entry specifica come eseguita/filled.,"Quando il trader segnala che una entry, un ordine o una media è stata eseguita.",ACT_MARK_ORDER_FILLED,symbol,entry_ref; fill_price; fill_qty; filled_order_type; linked_signal_id; source_message_id; confidence,Più granulare di U_ACTIVATION. Può convivere con multi-entry.
U_ADD_ENTRY,UPDATE,Aggiunge una nuova entry al piano o una media aggiuntiva.,Quando il trader introduce una nuova entry/averaging rispetto al setup iniziale.,ACT_ADD_ENTRY,symbol,new_entry_price; new_entry_label; order_type; role; qty; linked_signal_id; source_message_id; confidence,"Meglio distinta da U_UPDATE_PENDING_ENTRY: qui nasce una nuova entry, non si modifica una esistente."
U_UPDATE_PENDING_ENTRY,UPDATE,Modifica di una entry pendente già esistente.,Quando il trader sposta/corregge il prezzo o i dettagli di una pending entry.,ACT_UPDATE_PENDING_ENTRY,symbol,entry_ref; old_entry_price; new_entry_price; order_type; qty; linked_signal_id; source_message_id; confidence,Usare solo se c'è un chiaro riferimento a una entry già presente.
U_REMOVE_PENDING_ENTRY,UPDATE,Rimuove una singola entry pendente specifica.,"Quando il trader annulla una sola limit/entry del piano, non tutte.",ACT_REMOVE_PENDING_ENTRY,symbol,entry_ref; entry_price; reason; linked_signal_id; source_message_id; confidence,Distinto da U_CANCEL_PENDING_ORDERS che cancella tutte le pending.
U_CANCEL_PENDING_ORDERS,UPDATE,Cancella tutti gli ordini pendenti del setup.,Quando il trader dice di annullare tutte le limit/pending/averaging rimaste.,ACT_CANCEL_ALL_PENDING_ENTRIES,symbol,reason; cancel_scope; linked_signal_id; source_message_id; confidence,Può comparire anche senza simbolo se il messaggio ha link espliciti al setup.
U_MOVE_STOP,RISK,Spostamento dello stop loss a un livello specifico.,Quando il trader indica un nuovo stop preciso o dice di spostare lo stop sotto/sopra un livello.,ACT_MOVE_STOP_LOSS,symbol,new_stop_loss; old_stop_loss; stop_basis; protected_level; linked_signal_id; source_message_id; confidence,Intento principale per aggiornare il rischio con un nuovo SL operativo.
U_MOVE_STOP_TO_BE,RISK,Spostamento dello stop a breakeven o in piccolo profitto tecnico equivalente.,"Quando il trader scrive stop in BE, stop in бу, stop in + o simili.",ACT_MOVE_STOP_LOSS_TO_BE,symbol,be_price; offset_mode; offset_value; linked_signal_id; source_message_id; confidence,"Se il prezzo BE preciso non è scritto, si può inferire dal prezzo d'ingresso principale."
U_UPDATE_TAKE_PROFITS,RISK,Aggiorna o sostituisce la lista dei take profit.,"Quando il trader modifica target, TP1/TP2/TP3 o struttura di presa profitto.",ACT_UPDATE_TAKE_PROFITS,symbol,take_profits[]; target_refs[]; replace_mode; linked_signal_id; source_message_id; confidence,Non usare per TP già colpito; quello è U_TP_HIT.
